"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H3","840","United States","010190","010190 -- (2002-) - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",2.83,2.83,2.94,0,6.8,4,0,0,1891.812,
"HS","H3","840","United States","030199","030199 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,7351.639,
"HS","H3","840","United States","030269","030269 -- (-2011) -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",1.5,1.5,1.5,0,3,2,0,0,708.34,
"HS","H3","840","United States","030339","030339 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0.44,0.44,0,0.44,0.44,1,0,0,15.775,
"HS","H3","840","United States","030352","030352 -- (2007-2011) -- Cod (Gadus morhua, Gadus ","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,8.02,
"HS","H3","840","United States","030376","030376 -- (-2011) -- Eels (Anguilla spp.)","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,492.336,
"HS","H3","840","United States","030422","030422 -- (2007-2011) -- Toothfish (Dissostichus s","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,1122.928,
"HS","H3","840","United States","030520","030520 --  - Livers, roes and milt of fish, dried,","410","Korea, Rep.",2010,2010,"CMT","AHS",3.75,3.75,3.75,0,7.5,2,0,0,312.841,
"HS","H3","840","United States","030559","030559 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,2,0,0,3418.84,
"HS","H3","840","United States","030613","030613 -- (-2011) -- Shrimps and prawns","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,138.57,
"HS","H3","840","United States","030624","030624 -- (-2016) -- Crabs","410","Korea, Rep.",2011,2011,"CMT","AHS",3.75,3.75,3.75,0,7.5,2,0,0,752.458,
"HS","H3","840","United States","030749","030749 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,11859.711,
"HS","H3","840","United States","030799","030799 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,288.632,
"HS","H3","840","United States","041000","041000 --  Edible products of animal origin, not e","410","Korea, Rep.",2011,2011,"CMT","AHS",1.1,1.1,0,1.1,1.1,1,0,0,7.115,
"HS","H3","840","United States","060311","060311 -- (2007-) -- Roses","410","Korea, Rep.",2011,2011,"CMT","AHS",6.8,6.8,0,6.8,6.8,1,0,0,20.069,
"HS","H3","840","United States","070959","070959 -- (2002-) -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",10.88,10.88,10.88,0,21.76,2,1,1,1638.568,
"HS","H3","840","United States","071080","071080 --  - Other vegetables","410","Korea, Rep.",2011,2011,"CMT","AHS",8.61,8.61,5.67,0,14.9,11,0,0,401.591,
"HS","H3","840","United States","071231","071231 -- (2002-) -- Mushrooms of the genus Agaric","410","Korea, Rep.",2011,2011,"CMT","AHS",2.37,2.37,0.43,1.94,2.81,2,0,0,141.344,
"HS","H3","840","United States","071333","071333 --  -- Kidney beans, including white pea be","410","Korea, Rep.",2010,2010,"CMT","AHS",1.36,1.36,0.24,1.02,1.53,3,0,0,16.462,
"HS","H3","840","United States","080290","080290 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",1.23,1.23,1.22,0.15,3.84,7,0,0,24.263,
"HS","H3","840","United States","080820","080820 -- (-2011) - Pears and quinces","410","Korea, Rep.",2010,2010,"CMT","AHS",0.13,0.13,0.13,0,0.25,2,0,0,25865.19,
"HS","H3","840","United States","081190","081190 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",5.97,5.97,5.52,0,14.5,11,0,0,51.374,
"HS","H3","840","United States","090121","090121 --  -- Not decaffeinated","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,13.23,
"HS","H3","840","United States","090230","090230 --  - Black tea (fermented) and partly ferm","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,84.111,
"HS","H3","840","United States","091010","091010 -- (-2011) - Ginger","410","Korea, Rep.",2011,2011,"CMT","AHS",0.36,0.36,0.36,0,0.72,2,0,0,13.069,
"HS","H3","840","United States","100610","100610 --  - Rice in the husk (paddy or rough)","410","Korea, Rep.",2011,2011,"CMT","AHS",3.83,3.83,0,3.83,3.83,1,0,0,13.868,
"HS","H3","840","United States","100820","100820 -- (-2011) - Millet","410","Korea, Rep.",2011,2011,"CMT","AHS",0.71,0.71,0,0.71,0.71,1,0,0,24.083,
"HS","H3","840","United States","110290","110290 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",5.48,5.48,5.58,0,12.8,4,0,0,330.882,
"HS","H3","840","United States","110423","110423 --  -- Of maize (corn)","410","Korea, Rep.",2011,2011,"CMT","AHS",0.93,0.93,0,0.93,0.93,1,0,0,6,
"HS","H3","840","United States","110620","110620 --  - Of sago or of roots or tubers of head","410","Korea, Rep.",2010,2010,"CMT","AHS",4.15,4.15,4.15,0,8.3,2,0,0,21.319,
"HS","H3","840","United States","110812","110812 --  -- Maize (corn) starch","410","Korea, Rep.",2010,2010,"CMT","AHS",0.85,0.85,0,0.85,0.85,1,0,0,13.871,
"HS","H3","840","United States","120740","120740 --  - Sesamum seeds","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,4.762,
"HS","H3","840","United States","120930","120930 --  - Seeds of herbaceous plants cultivated","410","Korea, Rep.",2010,2010,"CMT","AHS",0.03,0.03,0,0.03,0.03,1,0,0,12.408,
"HS","H3","840","United States","121190","121190 --  - Other","410","Korea, Rep.",2010,2010,"CMT","AHS",1.65,1.65,1.96,0,4.8,4,0,0,990.942,
"HS","H3","840","United States","130219","130219 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",0.33,0.33,0.47,0,1,3,0,0,3945.752,
"HS","H3","840","United States","150410","150410 --  - Fish-liver oils and their fractions","410","Korea, Rep.",2011,2011,"CMT","AHS",1.25,1.25,1.25,0,2.5,2,0,0,94.697,
"HS","H3","840","United States","150910","150910 --  - Virgin","410","Korea, Rep.",2011,2011,"CMT","AHS",1.25,1.25,0.24,1.01,1.49,2,0,0,17.691,
"HS","H3","840","United States","151529","151529 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",3.4,3.4,0,3.4,3.4,1,0,0,13.279,
"HS","H3","840","United States","151620","151620 --  - Vegetable fats and oils and their fra","410","Korea, Rep.",2011,2011,"CMT","AHS",6.85,6.85,0.85,5.99,7.7,2,0,0,7.96,
"HS","H3","840","United States","160412","160412 --  -- Herring","410","Korea, Rep.",2010,2010,"CMT","AHS",1.33,1.33,1.89,0,4,3,0,0,17.771,
"HS","H3","840","United States","160419","160419 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",5.06,5.06,2.74,0,10,8,0,0,429.512,
"HS","H3","840","United States","160520","160520 -- (-2011) - Shrimps and prawns","410","Korea, Rep.",2010,2010,"CMT","AHS",2.5,2.5,2.5,0,5,2,0,0,30.483,
"HS","H3","840","United States","170199","170199 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",47.47,47.47,0.01,47.47,47.47,3,1,1,397.31,
"HS","H3","840","United States","170290","170290 --  - Other, including invert sugar and oth","410","Korea, Rep.",2011,2011,"CMT","AHS",17.48,17.48,17.37,4.09,43.01,11,3,3,470.208,
"HS","H3","840","United States","180610","180610 --  - Cocoa powder, containing added sugar ","410","Korea, Rep.",2010,2010,"CMT","AHS",11.37,11.37,6.18,0,18.9,13,4,4,2.4,
"HS","H3","840","United States","190120","190120 --  - Mixes and doughs for the preparation ","410","Korea, Rep.",2011,2011,"CMT","AHS",17.16,17.16,9.64,8.5,29.58,16,6,6,3256.797,
"HS","H3","840","United States","190220","190220 --  - Stuffed pasta, whether or not cooked ","410","Korea, Rep.",2011,2011,"CMT","AHS",6.4,6.4,0,6.4,6.4,1,0,0,1976.081,
"HS","H3","840","United States","190490","190490 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",14,14,0,14,14,1,0,0,3505.492,
"HS","H3","840","United States","190540","190540 --  - Rusks, toasted bread and similar toas","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,1028.288,
"HS","H3","840","United States","200390","200390 -- (2002-) - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",11.11,11.11,0.01,11.11,11.11,1,0,0,3.359,
"HS","H3","840","United States","200551","200551 --  -- Beans, shelled","410","Korea, Rep.",2010,2010,"CMT","AHS",1.75,1.75,0.29,1.46,2.04,2,0,0,200.779,
"HS","H3","840","United States","200599","200599 -- (2007-) -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",7.25,7.25,5.23,0,14.9,9,0,0,1471.51,
"HS","H3","840","United States","200811","200811 --  -- Groundnuts","410","Korea, Rep.",2011,2011,"CMT","AHS",45.23,45.23,61.22,0,131.8,9,3,3,12.262,
"HS","H3","840","United States","200899","200899 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",5.9,5.9,5.29,0,22.4,23,1,1,23551.085,
"HS","H3","840","United States","200949","200949 -- (2002-) -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",,,,,,2,0,0,2.281,
"HS","H3","840","United States","200990","200990 --  - Mixtures of juices","410","Korea, Rep.",2011,2011,"CMT","AHS",,,,,,2,0,0,119.38,
"HS","H3","840","United States","210130","210130 --  - Roasted chicory and other roasted cof","410","Korea, Rep.",2011,2011,"CMT","AHS",0.67,0.67,0,0.67,0.67,1,0,0,452.033,
"HS","H3","840","United States","210320","210320 --  - Tomato ketchup and other tomato sauce","410","Korea, Rep.",2010,2010,"CMT","AHS",8.8,8.8,2.8,6,11.6,2,0,0,11.616,
"HS","H3","840","United States","210500","210500 --  Ice cream and other edible ice, whether","410","Korea, Rep.",2011,2011,"CMT","AHS",23.57,23.57,6.68,17,34,7,7,7,5439.881,
"HS","H3","840","United States","220190","220190 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,27.023,
"HS","H3","840","United States","220600","220600 --  Other fermented beverages (for example,","410","Korea, Rep.",2011,2011,"CMT","AHS",4.31,4.31,3.4,0.26,8.96,5,0,0,5220.353,
"HS","H3","840","United States","230990","230990 --  - Other","410","Korea, Rep.",2010,2010,"CMT","AHS",22.93,22.93,37.29,0,97.3,10,2,2,338.063,
"HS","H3","840","United States","250490","250490 --  - Other","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,8.972,
"HS","H3","840","United States","250840","250840 --  - Other clays","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,9.917,
"HS","H3","840","United States","251749","251749 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,24.7,
"HS","H3","840","United States","252520","252520 --  - Mica powder","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,13.1,
"HS","H3","840","United States","262190","262190 -- (2002-) - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,123.471,
"HS","H3","840","United States","270740","270740 --  - Naphthalene","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,6.414,
"HS","H3","840","United States","271019","271019 -- (2002-) -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",6.8,6.8,0.75,5.8,7.6,11,0,0,1967041.449,
"HS","H3","840","United States","271114","271114 --  -- Ethylene, propylene, butylene and bu","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,9608.331,
"HS","H3","840","United States","271220","271220 --  - Paraffin wax containing by weight les","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,173.546,
"HS","H3","840","United States","280130","280130 --  - Fluorine; bromine","410","Korea, Rep.",2011,2011,"CMT","AHS",4.6,4.6,0.9,3.7,5.5,2,0,0,7.063,
"HS","H3","840","United States","280469","280469 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",5.4,5.4,0.1,5.3,5.5,2,0,0,2.178,
"HS","H3","840","United States","280700","280700 --  Sulphuric acid; oleum","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,2241,
"HS","H3","840","United States","281122","281122 --  -- Silicon dioxide","410","Korea, Rep.",2010,2010,"CMT","AHS",1.85,1.85,1.85,0,3.7,2,0,0,2776.148,
"HS","H3","840","United States","281410","281410 --  - Anhydrous ammonia","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,1300.801,
"HS","H3","840","United States","281700","281700 --  Zinc oxide; zinc peroxide","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,3,
"HS","H3","840","United States","282010","282010 --  - Manganese dioxide","410","Korea, Rep.",2010,2010,"CMT","AHS",4.7,4.7,0,4.7,4.7,1,0,0,4.837,
"HS","H3","840","United States","282510","282510 --  - Hydrazine and hydroxylamine and their","410","Korea, Rep.",2011,2011,"CMT","AHS",3.7,3.7,0,3.7,3.7,1,0,0,5882.654,
"HS","H3","840","United States","282619","282619 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",3.57,3.57,0.34,3.1,3.9,3,0,0,5395.334,
"HS","H3","840","United States","282739","282739 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",4.17,4.17,1.11,1.6,5.5,9,0,0,5696.068,
"HS","H3","840","United States","283190","283190 --  - Other","410","Korea, Rep.",2010,2010,"CMT","AHS",5.5,5.5,0,5.5,5.5,1,0,0,13.141,
"HS","H3","840","United States","283329","283329 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",2.65,2.65,1.83,0,5.5,6,0,0,31.816,
"HS","H3","840","United States","283531","283531 --  -- Sodium triphosphate (sodium tripolyp","410","Korea, Rep.",2010,2010,"CMT","AHS",1.4,1.4,0,1.4,1.4,1,0,0,73.665,
"HS","H3","840","United States","283650","283650 --  - Calcium carbonate","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,475.396,
"HS","H3","840","United States","283720","283720 --  - Complex cyanides","410","Korea, Rep.",2010,2010,"CMT","AHS",1.4,1.4,0.3,1.1,1.7,2,0,0,59.342,
"HS","H3","840","United States","284210","284210 --  - Double or complex silicates, includin","410","Korea, Rep.",2011,2011,"CMT","AHS",3.7,3.7,0,3.7,3.7,1,0,0,21.675,
"HS","H3","840","United States","284690","284690 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",1.23,1.23,1.74,0,3.7,3,0,0,2207.366,
"HS","H3","840","United States","285000","285000 --  Hydrides, nitrides, azides, silicides a","410","Korea, Rep.",2011,2011,"CMT","AHS",3.92,3.92,2.07,0,5.5,5,0,0,457.445,
"HS","H3","840","United States","290124","290124 --  -- Buta-1,3-diene and isoprene","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,3,0,0,60669.854,
"HS","H3","840","United States","290241","290241 --  -- o-Xylene","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,4572.819,
"HS","H3","840","United States","290313","290313 --  -- Chloroform (trichloromethane)","410","Korea, Rep.",2011,2011,"CMT","AHS",5.5,5.5,0,5.5,5.5,1,0,0,367.629,
"HS","H3","840","United States","290512","290512 --  -- Propan-1-ol (propyl alcohol) and pro","410","Korea, Rep.",2011,2011,"CMT","AHS",5.5,5.5,0,5.5,5.5,1,0,0,2847.663,
"HS","H3","840","United States","290539","290539 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",4.13,4.13,2.38,0,5.5,4,0,0,4057.937,
"HS","H3","840","United States","290613","290613 --  -- Sterols and inositols","410","Korea, Rep.",2010,2010,"CMT","AHS",1.85,1.85,1.85,0,3.7,2,0,0,313.873,
"HS","H3","840","United States","290722","290722 --  -- Hydroquinone (quinol) and its salts","410","Korea, Rep.",2011,2011,"CMT","AHS",5.5,5.5,0,5.5,5.5,2,0,0,19,
"HS","H3","840","United States","290930","290930 --  - Aromatic ethers and their halogenated","410","Korea, Rep.",2010,2010,"CMT","AHS",4.81,4.81,1.82,0,5.5,8,0,0,656.2,
"HS","H3","840","United States","290950","290950 --  - Ether-phenols, ether-alcohol-phenols ","410","Korea, Rep.",2010,2010,"CMT","AHS",5.36,5.36,0.28,4.8,5.5,5,0,0,6.52,
"HS","H3","840","United States","291090","291090 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",4.97,4.97,0.39,4.6,5.5,3,0,0,84.634,
"HS","H3","840","United States","291412","291412 --  -- Butanone (methyl ethyl ketone)","410","Korea, Rep.",2011,2011,"CMT","AHS",3.1,3.1,0,3.1,3.1,1,0,0,154.509,
"HS","H3","840","United States","291470","291470 -- (-2016) - Halogenated, sulphonated, nitr","410","Korea, Rep.",2011,2011,"CMT","AHS",3,3,2.51,0,5.5,5,0,0,2969.859,
"HS","H3","840","United States","291560","291560 --  - Butanoic acids, pentanoic acids, thei","410","Korea, Rep.",2011,2011,"CMT","AHS",3.8,3.8,1.7,2.1,5.5,2,0,0,21.3,
"HS","H3","840","United States","291612","291612 --  -- Esters of acrylic acid","410","Korea, Rep.",2011,2011,"CMT","AHS",5.1,5.1,1.4,3.7,6.5,2,0,0,34732.162,
"HS","H3","840","United States","291632","291632 --  -- Benzoyl peroxide and benzoyl chlorid","410","Korea, Rep.",2010,2010,"CMT","AHS",6.5,6.5,0,6.5,6.5,2,0,0,4.747,
"HS","H3","840","United States","291719","291719 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",5.2,5.2,1.99,0,6.5,10,0,0,321.266,
"HS","H3","840","United States","291734","291734 --  -- Other esters of orthophthalic acid","410","Korea, Rep.",2011,2011,"CMT","AHS",6.5,6.5,0,6.5,6.5,1,0,0,5856.399,
"HS","H3","840","United States","291812","291812 --  -- Tartaric acid","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,2.273,
"HS","H3","840","United States","291990","291990 -- (2007-) - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",4.18,4.18,2.67,0,6.5,4,0,0,75.369,
"HS","H3","840","United States","292143","292143 --  -- Toluidines and their derivatives; sa","410","Korea, Rep.",2010,2010,"CMT","AHS",4.79,4.79,2.77,0,6.5,8,0,0,1241.096,
"HS","H3","840","United States","292211","292211 --  -- Monoethanolamine and its salts","410","Korea, Rep.",2011,2011,"CMT","AHS",6.5,6.5,0,6.5,6.5,1,0,0,20.37,
"HS","H3","840","United States","292242","292242 --  -- Glutamic acid and its salts","410","Korea, Rep.",2011,2011,"CMT","AHS",5.1,5.1,1.4,3.7,6.5,2,0,0,830.055,
"HS","H3","840","United States","292429","292429 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",3.93,3.93,3.1,0,6.5,21,0,0,5907.93,
"HS","H3","840","United States","292529","292529 -- (2007-) -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",3.87,3.87,2.91,0,6.5,6,0,0,2257.509,
"HS","H3","840","United States","292800","292800 --  Organic derivatives of hydrazine or of ","410","Korea, Rep.",2011,2011,"CMT","AHS",4.08,4.08,2.39,0,6.5,5,0,0,1602.612,
"HS","H3","840","United States","293211","293211 --  -- Tetrahydrofuran","410","Korea, Rep.",2010,2010,"CMT","AHS",3.7,3.7,0,3.7,3.7,1,0,0,18.791,
"HS","H3","840","United States","293332","293332 -- (1996-) -- Piperidine and its salts","410","Korea, Rep.",2010,2010,"CMT","AHS",6.5,6.5,0,6.5,6.5,2,0,0,38.403,
"HS","H3","840","United States","293369","293369 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",1.75,1.75,1.75,0,3.5,2,0,0,1275.41,
"HS","H3","840","United States","293491","293491 -- (2002-) -- Aminorex (INN), brotizolam (I","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,3.218,
"HS","H3","840","United States","293627","293627 --  -- Vitamin C and its derivatives","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,320.825,
"HS","H3","840","United States","293719","293719 -- (2002-) -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,14.982,
"HS","H3","840","United States","293999","293999 -- (2002-2016) -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,25.775,
"HS","H3","840","United States","294190","294190 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,3,0,0,1574.251,
"HS","H3","840","United States","300210","300210 -- (-2016) - Antisera, other blood fraction","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,1406.998,
"HS","H3","840","United States","300432","300432 --  -- Containing corticosteroid hormones, ","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,473.183,
"HS","H3","840","United States","300590","300590 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,2,0,0,1654.634,
"HS","H3","840","United States","300692","300692 -- (2007-) -- Waste pharmaceuticals","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,15.303,
"HS","H3","840","United States","310559","310559 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,5.15,
"HS","H3","840","United States","320413","320413 --  -- Basic dyes and preparations based th","410","Korea, Rep.",2010,2010,"CMT","AHS",5.42,5.42,2.42,0,6.5,6,0,0,86.903,
"HS","H3","840","United States","320419","320419 --  -- Other, including mixtures of colouri","410","Korea, Rep.",2010,2010,"CMT","AHS",5.26,5.26,2.28,0,6.5,8,0,0,313.963,
"HS","H3","840","United States","320619","320619 -- (1996-) -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",6,6,0,6,6,1,0,0,22.568,
"HS","H3","840","United States","320710","320710 --  - Prepared pigments, prepared opacifier","410","Korea, Rep.",2010,2010,"CMT","AHS",3.1,3.1,0,3.1,3.1,1,0,0,107.789,
"HS","H3","840","United States","320820","320820 --  - Based on acrylic or vinyl polymers","410","Korea, Rep.",2011,2011,"CMT","AHS",3.6,3.6,0,3.6,3.6,1,0,0,2079.103,
"HS","H3","840","United States","321000","321000 --  Other paints and varnishes (including e","410","Korea, Rep.",2011,2011,"CMT","AHS",1.8,1.8,0,1.8,1.8,1,0,0,239.635,
"HS","H3","840","United States","321390","321390 --  - Other","410","Korea, Rep.",2010,2010,"CMT","AHS",3.4,3.4,0,3.4,3.4,1,0,0,2287.883,
"HS","H3","840","United States","321519","321519 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",1.8,1.8,0,1.8,1.8,1,0,0,7870.157,
"HS","H3","840","United States","330210","330210 --  - Of a kind used in the food or drink i","410","Korea, Rep.",2011,2011,"CMT","AHS",0.99,0.99,1.22,0,2.69,5,0,0,73.953,
"HS","H3","840","United States","330430","330430 --  - Manicure or pedicure preparations","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,6285.262,
"HS","H3","840","United States","330520","330520 --  - Preparations for permanent waving or ","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,309.333,
"HS","H3","840","United States","330620","330620 -- (1996-) - Yarn used to clean between the","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,50.337,
"HS","H3","840","United States","330741","330741 --  -- ‘Agarbatti’ and other odoriferous pr","410","Korea, Rep.",2010,2010,"CMT","AHS",2.4,2.4,0,2.4,2.4,1,0,0,3.822,
"HS","H3","840","United States","340119","340119 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,700.01,
"HS","H3","840","United States","340212","340212 --  -- Cationic","410","Korea, Rep.",2010,2010,"CMT","AHS",4,4,0,4,4,2,0,0,615.539,
"HS","H3","840","United States","340290","340290 --  - Other","410","Korea, Rep.",2010,2010,"CMT","AHS",3.83,3.83,0.12,3.7,4,3,0,0,1983.842,
"HS","H3","840","United States","340399","340399 --  -- Other","410","Korea, Rep.",2011,2011,"CMT","AHS",6.5,6.5,0,6.5,6.5,1,0,0,321.025,
"HS","H3","840","United States","340540","340540 --  - Scouring pastes and powders and other","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,484.001,
"HS","H3","840","United States","350300","350300 --  Gelatin (including gelatin in rectangul","410","Korea, Rep.",2010,2010,"CMT","AHS",3.45,3.45,1.06,1.73,4.33,4,0,0,9667.898,
"HS","H3","840","United States","350691","350691 --  -- Adhesives based on polymers of headi","410","Korea, Rep.",2010,2010,"CMT","AHS",2.1,2.1,0,2.1,2.1,1,0,0,4541.137,
"HS","H3","840","United States","360610","360610 --  - Liquid or liquefied-gas fuels in cont","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,1,0,0,4466.803,
"HS","H3","840","United States","370231","370231 --  -- For colour photography (polychrome)","410","Korea, Rep.",2010,2010,"CMT","AHS",3.7,3.7,0,3.7,3.7,1,0,0,16.123,
"HS","H3","840","United States","370244","370244 --  -- Of a width exceeding 105 mm but not ","410","Korea, Rep.",2011,2011,"CMT","AHS",3.7,3.7,0,3.7,3.7,1,0,0,546.551,
"HS","H3","840","United States","370390","370390 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",3.25,3.25,0.45,2.8,3.7,2,0,0,103.596,
"HS","H3","840","United States","370790","370790 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",2.67,2.67,2.78,0,6.5,3,0,0,92016.533,
"HS","H3","840","United States","380630","380630 --  - Ester gums","410","Korea, Rep.",2011,2011,"CMT","AHS",6.5,6.5,0,6.5,6.5,1,0,0,12.89,
"HS","H3","840","United States","380899","380899 -- (2007-) -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",3.3,3.3,2.75,0,6.5,5,0,0,472.73,
"HS","H3","840","United States","381111","381111 --  -- Based on lead compounds","410","Korea, Rep.",2011,2011,"CMT","AHS",0,0,0,0,0,2,0,0,6.85,
"HS","H3","840","United States","381220","381220 --  - Compound plasticisers for rubber or p","410","Korea, Rep.",2010,2010,"CMT","AHS",5.75,5.75,0.75,5,6.5,2,0,0,740.801,
"HS","H3","840","United States","381519","381519 --  -- Other","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,221.422,
"HS","H3","840","United States","382000","382000 --  Anti-freezing preparations and prepared","410","Korea, Rep.",2010,2010,"CMT","AHS",6.5,6.5,0,6.5,6.5,1,0,0,16.943,
"HS","H3","840","United States","382430","382430 -- (1996-) - Non-agglomerated metal carbide","410","Korea, Rep.",2010,2010,"CMT","AHS",3.6,3.6,0,3.6,3.6,1,0,0,552.208,
"HS","H3","840","United States","382590","382590 -- (2002-) - Other","410","Korea, Rep.",2010,2010,"CMT","AHS",0,0,0,0,0,1,0,0,52.3,
"HS","H3","840","United States","390190","390190 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",4.33,4.33,3.06,0,6.5,3,0,0,1367.067,
"HS","H3","840","United States","390290","390290 --  - Other","410","Korea, Rep.",2011,2011,"CMT","AHS",6.5,6.5,0,6.5,6.5,1,0,0,3780.602,
"HS","H3","840","United States","390330","390330 --  - Acrylonitrile-butadiene-styrene (ABS)","410","Korea, Rep.",2011,2011,"CMT","AHS",6.5,6.5,0,6.5,6.5,1,0,0,82047.222,
